AN	MORPH_TYPE	EXPONENT	BASE_POS	SEM_TYPE
forgeur	affixed	eur	v	action
formateur	affixed	eur	v	action
fornicateur	affixed	eur	v	action
fossoyeur	affixed	eur	v	action
fouetteur	affixed	eur	v	action
fouilleur	affixed	eur	v	action
fouineur	affixed	eur	v	action
fouisseur	affixed	eur	v	action
fouleur	affixed	eur	v	action
fournisseur	affixed	eur	v	action
fourreur	affixed	eur	v	action
fouteur	affixed	eur	v	action
fraiseur	affixed	eur	v	action
franc-parleur	affixed	eur	n	domain
frappeur	affixed	eur	v	action
fraudeur	affixed	eur	v	action
freestyleur	affixed	eur	n	domain
frimeur	affixed	eur	v	action
fugueur	affixed	eur	v	action
fumeur	affixed	eur	v	action
fumeuse	affixed	eur	v	action
gâcheur	affixed	eur	v	action
gaffeur	affixed	eur	v	action
gagneur	affixed	eur	v	action
gardeur	affixed	eur	v	action
génériqueur	affixed	eur	n	object
gêneur	affixed	eur	v	action
glandeur	affixed	eur	v	action
glaneur	affixed	eur	v	action
gobeur	affixed	eur	v	action
godilleur	affixed	eur	v	action
goûteur	affixed	eur	v	action
gouverneur	affixed	eur	v	action
gratteur	affixed	eur	v	action
gribouilleur	affixed	eur	v	action
griffeur	affixed	eur	v	action
grimpeur	affixed	eur	v	action
guérisseur	affixed	eur	v	action
guerroyeur	affixed	eur	v	action
guetteur	affixed	eur	v	action
guillotineur	affixed	eur	v	action
habilleur	affixed	eur	v	action
hâbleur	affixed	eur	v	action
handballeur	affixed	eur	n	domain
handballeuse	affixed	eur	n	domain
handicapeur	affixed	eur	v	action
harceleur	affixed	eur	v	action
hardeur	affixed	eur	n	domain
harponneur	affixed	eur	v	action
hockeyeur	affixed	eur	n	domain
hockeyeuse	affixed	eur	n	domain
houilleur	affixed	eur	n	object
hurleur	affixed	eur	v	action
hypnotiseur	affixed	eur	v	action
illustrateur	affixed	eur	v	action
imitateur	affixed	eur	v	action
importateur	affixed	eur	v	action
improvisateur	affixed	eur	v	action
incitateur	affixed	eur	v	action
indienneur	affixed	eur	n	object
informateur	affixed	eur	v	action
initiateur	affixed	eur	v	action
innovateur	affixed	eur	v	action
inquiéteur	affixed	eur	v	action
inspecteur	affixed	eur	v	action
installateur	affixed	eur	v	action
installeur	affixed	eur	v	action
instauratrice	affixed	eur	v	action
instructeur	affixed	eur	v	action
insulteur	affixed	eur	v	action
intercepteur	affixed	eur	v	action
intercesseur	affixed	eur	v	action
interpolateur	affixed	eur	v	action
interrogateur	affixed	eur	v	action
intervieweur	affixed	eur	v	action
inventeur	affixed	eur	v	action
investigateur	affixed	eur	v	action
investigatrice	affixed	eur	v	action
investisseur	affixed	eur	v	action
jaseur	affixed	eur	v	action
jeteur	affixed	eur	v	action
joggeur	affixed	eur	v	action
joggeuse	affixed	eur	v	action
jongleur	affixed	eur	v	action
joueur	affixed	eur	v	action
jouteur	affixed	eur	v	action
kidnappeur	affixed	eur	v	action
kitesurfeur	affixed	eur	n	domain
laboureur	affixed	eur	v	action
lâcheur	affixed	eur	v	action
largueur	affixed	eur	v	action
lécheur	affixed	eur	v	action
leveur	affixed	eur	v	action
libérateur	affixed	eur	v	action
lieur	affixed	eur	v	action
liquidateur	affixed	eur	v	action
livreur	affixed	eur	v	action
livreuse	affixed	eur	v	action
louangeur	affixed	eur	v	action
loucheur	affixed	eur	v	action
loueur	affixed	eur	v	action
lutteur	affixed	eur	v	action
mâcheur	affixed	eur	v	action
magouilleur	affixed	eur	v	action
mainteneur	affixed	eur	v	action
mangeur	affixed	eur	v	action
manieur	affixed	eur	v	action
manipulateur	affixed	eur	v	action
maquilleur	affixed	eur	v	action
maraudeur	affixed	eur	v	action
marcheur	affixed	eur	v	action
mareyeur	affixed	eur	n	action
marieur	affixed	eur	v	action
marteleur	affixed	eur	v	action
massacreur	affixed	eur	v	action
masseur	affixed	eur	v	action
mateur	affixed	eur	v	action
matraqueur	affixed	eur	v	action
meneur	affixed	eur	v	action
menteur	affixed	eur	v	action
métreur	affixed	eur	v	action
metteur	affixed	eur	v	action
migrateur	affixed	eur	v	action
mitrailleur	affixed	eur	v	action
modeleur	affixed	eur	v	action
moissonneur	affixed	eur	v	action
monteur	affixed	eur	v	action
montreur	affixed	eur	v	action
moqueur	affixed	eur	v	action
moralisateur	affixed	eur	v	action
mordeur	affixed	eur	v	action
motivateur	affixed	eur	v	action
moucheur	affixed	eur	v	action
mouleur	affixed	eur	v	action
mystificateur	affixed	eur	v	action
nageur	affixed	eur	v	action
narrateur	affixed	eur	v	action
navetteur	affixed	eur	n	action
négociateur	affixed	eur	v	action
noceur	affixed	eur	v	action
objecteur	affixed	eur	v	action
observateur	affixed	eur	v	action
offenseur	affixed	eur	v	action
oppresseur	affixed	eur	v	action
ordonnateur	affixed	eur	v	action
organisateur	affixed	eur	v	action
orienteuse	affixed	eur	v	action
orpailleur	affixed	eur	v	action
